ID,Tournament,Date,Home Team,Away Team,Home Goals,Away Goals,Home Stadium or Not
1,Friendly,1872-11-30,Scotland,England,0,0,1
2,Friendly,1873-03-08,England,Scotland,4,2,1
3,Friendly,1874-03-07,Scotland,England,2,1,1
4,Friendly,1875-03-06,England,Scotland,2,2,1
5,Friendly,1876-03-04,Scotland,England,3,0,1
6,Friendly,1876-03-25,Scotland,Wales,4,0,1
7,Friendly,1877-03-03,England,Scotland,1,3,1
8,Friendly,1877-03-05,Wales,Scotland,0,2,1
9,Friendly,1878-03-02,Scotland,England,7,2,1
10,Friendly,1878-03-23,Scotland,Wales,9,0,1
11,Friendly,1879-01-18,England,Wales,2,1,1
12,Friendly,1879-04-05,England,Scotland,5,4,1
13,Friendly,1879-04-07,Wales,Scotland,0,3,1
14,Friendly,1880-03-13,Scotland,England,5,4,1
15,Friendly,1880-03-15,Wales,England,2,3,1
16,Friendly,1880-03-27,Scotland,Wales,5,1,1
17,Friendly,1881-02-26,England,Wales,0,1,1
18,Friendly,1881-03-12,England,Scotland,1,6,1
19,Friendly,1881-03-14,Wales,Scotland,1,5,1
20,Friendly,1882-02-18,Northern Ireland,England,0,13,1
21,Friendly,1882-02-25,Wales,Northern Ireland,7,1,1
22,Friendly,1882-03-11,Scotland,England,5,1,1
23,Friendly,1882-03-13,Wales,England,5,3,1
24,Friendly,1882-03-25,Scotland,Wales,5,0,1
25,Friendly,1883-02-03,England,Wales,5,0,1
26,Friendly,1883-02-24,England,Northern Ireland,7,0,1
27,Friendly,1883-03-10,England,Scotland,2,3,1
28,Friendly,1883-03-12,Wales,Scotland,0,3,1
29,Friendly,1883-03-17,Northern Ireland,Wales,1,1,1
30,British Championship,1884-02-09,Wales,Northern Ireland,6,0,1
31,British Championship,1884-02-23,Northern Ireland,England,1,8,1
32,British Championship,1884-03-15,Scotland,England,1,0,1
33,British Championship,1884-03-17,Wales,England,0,4,1
34,British Championship,1884-03-29,Scotland,Wales,4,1,1
35,British Championship,1885-02-28,England,Northern Ireland,4,0,1
36,British Championship,1885-03-14,England,Wales,1,1,1
37,British Championship,1885-03-21,England,Scotland,1,1,1
38,British Championship,1885-03-23,Wales,Scotland,1,8,1
39,British Championship,1885-04-11,Northern Ireland,Wales,2,8,1
40,Friendly,1885-11-28,United States,Canada,0,1,1
41,British Championship,1886-02-27,Wales,Northern Ireland,5,0,1
42,British Championship,1886-03-13,Northern Ireland,England,1,6,1
43,British Championship,1886-03-27,Scotland,England,1,1,1
44,British Championship,1886-03-29,Wales,England,1,3,1
45,British Championship,1886-04-10,Scotland,Wales,4,1,1
46,Friendly,1886-11-25,United States,Canada,3,2,1
47,British Championship,1887-02-05,England,Northern Ireland,7,0,1
48,British Championship,1887-02-26,England,Wales,4,0,1
49,British Championship,1887-03-12,Northern Ireland,Wales,4,1,1
50,British Championship,1887-03-19,England,Scotland,2,3,1
51,British Championship,1887-03-21,Wales,Scotland,0,2,1
52,British Championship,1888-02-04,England,Wales,5,1,1
53,British Championship,1888-03-03,Wales,Northern Ireland,11,0,1
54,British Championship,1888-03-10,Scotland,Wales,5,1,1
55,British Championship,1888-03-17,Scotland,England,0,5,1
56,British Championship,1888-04-07,Northern Ireland,England,1,5,1
57,Friendly,1888-09-19,Scotland,Canada,4,0,1
58,British Championship,1889-02-23,England,Wales,4,1,1
59,British Championship,1889-03-02,England,Northern Ireland,6,1,1
60,British Championship,1889-04-13,England,Scotland,2,3,1
61,British Championship,1889-04-15,Wales,Scotland,0,0,1
62,British Championship,1889-04-27,Northern Ireland,Wales,1,3,1
63,British Championship,1890-02-08,Wales,Northern Ireland,5,2,0
64,British Championship,1890-03-15,Northern Ireland,England,1,9,1
65,British Championship,1890-03-15,Wales,England,1,3,1
66,British Championship,1890-03-22,Scotland,Wales,5,0,1
67,British Championship,1890-04-05,Scotland,England,1,1,1
68,British Championship,1891-02-07,Northern Ireland,Wales,7,2,1
69,British Championship,1891-03-07,England,Wales,4,1,1
70,British Championship,1891-03-07,England,Northern Ireland,6,1,1
71,British Championship,1891-03-21,Wales,Scotland,3,4,1
72,British Championship,1891-04-06,England,Scotland,2,1,1
73,British Championship,1892-02-27,Wales,Northern Ireland,1,1,1
74,British Championship,1892-03-05,Northern Ireland,England,0,2,1
75,British Championship,1892-03-05,Wales,England,0,2,1
76,British Championship,1892-03-26,Scotland,Wales,6,1,1
77,British Championship,1892-04-02,Scotland,England,1,4,1
78,British Championship,1893-02-25,England,Northern Ireland,6,1,1
79,British Championship,1893-03-13,England,Wales,6,0,1
80,British Championship,1893-03-18,Wales,Scotland,0,8,1
81,British Championship,1893-04-01,England,Scotland,5,2,1
82,British Championship,1894-02-24,Wales,Northern Ireland,4,1,1
83,British Championship,1894-03-03,Northern Ireland,England,2,2,1
84,British Championship,1894-03-12,Wales,England,1,5,1
85,British Championship,1894-03-24,Scotland,Wales,5,2,1
86,British Championship,1894-04-07,Scotland,England,2,2,1
87,British Championship,1895-03-09,England,Northern Ireland,9,0,1
88,British Championship,1895-03-16,Northern Ireland,Wales,2,2,1
89,British Championship,1895-03-18,England,Wales,1,1,1
90,British Championship,1895-03-23,Wales,Scotland,2,2,1
91,British Championship,1895-04-06,England,Scotland,3,0,1
92,British Championship,1896-02-29,Wales,Northern Ireland,6,1,1
93,British Championship,1896-03-07,Northern Ireland,England,0,2,1
94,British Championship,1896-03-16,Wales,England,1,9,1
95,British Championship,1896-03-21,Scotland,Wales,4,0,1
96,British Championship,1896-04-04,Scotland,England,2,1,1
97,British Championship,1897-02-20,England,Northern Ireland,6,0,1
98,British Championship,1897-03-06,Northern Ireland,Wales,4,3,1
99,British Championship,1897-03-20,Wales,Scotland,2,2,1
100,British Championship,1897-03-29,England,Wales,4,0,1
101,British Championship,1897-04-03,England,Scotland,1,2,1
102,British Championship,1898-02-19,Wales,Northern Ireland,0,1,1
103,British Championship,1898-03-05,Northern Ireland,England,2,3,1
104,British Championship,1898-03-19,Scotland,Wales,5,2,1
105,British Championship,1898-03-28,Wales,England,0,3,1
106,British Championship,1898-04-02,Scotland,England,1,3,1
107,British Championship,1899-02-18,England,Northern Ireland,13,2,1
108,British Championship,1899-03-04,Northern Ireland,Wales,1,0,1
109,British Championship,1899-03-18,Wales,Scotland,0,6,1
110,British Championship,1899-03-20,England,Wales,4,0,1
111,British Championship,1899-04-08,England,Scotland,2,1,1
112,British Championship,1900-02-03,Scotland,Wales,5,2,1
113,British Championship,1900-02-24,Wales,Northern Ireland,2,0,1
114,British Championship,1900-03-17,Northern Ireland,England,0,2,1
115,British Championship,1900-03-26,Wales,England,1,1,1
116,British Championship,1900-04-07,Scotland,England,4,1,1
117,British Championship,1901-03-02,Wales,Scotland,1,1,1
118,British Championship,1901-03-09,England,Northern Ireland,3,0,1
119,British Championship,1901-03-18,England,Wales,6,0,1
120,British Championship,1901-03-23,Northern Ireland,Wales,0,1,1
121,British Championship,1901-03-30,England,Scotland,2,2,1
122,British Championship,1902-02-22,Wales,Northern Ireland,0,3,1
123,British Championship,1902-03-03,Wales,England,0,0,1
124,British Championship,1902-03-15,Scotland,Wales,5,1,1
125,British Championship,1902-03-22,Northern Ireland,England,0,1,1
126,British Championship,1902-05-03,England,Scotland,2,2,1
127,Friendly,1902-07-20,Uruguay,Argentina,0,6,1
128,British Championship,1903-02-14,England,Northern Ireland,4,0,1
129,British Championship,1903-03-02,England,Wales,2,1,1
130,British Championship,1903-03-09,Wales,Scotland,0,1,1
131,British Championship,1903-03-28,Northern Ireland,Wales,2,0,1
132,British Championship,1903-04-04,England,Scotland,1,2,1
133,Friendly,1903-09-13,Argentina,Uruguay,2,3,1
134,British Championship,1904-02-29,Wales,England,2,2,1
135,British Championship,1904-03-12,Northern Ireland,England,1,3,1
136,British Championship,1904-03-12,Scotland,Wales,1,1,1
137,British Championship,1904-03-21,Wales,Northern Ireland,0,1,1
138,British Championship,1904-04-09,Scotland,England,0,1,1
139,Friendly,1904-05-01,Belgium,France,3,3,1
140,Friendly,1905-02-12,France,Switzerland,1,0,1
141,British Championship,1905-02-25,England,Northern Ireland,1,1,1
142,British Championship,1905-03-06,Wales,Scotland,3,1,1
143,British Championship,1905-03-27,England,Wales,3,1,1
144,British Championship,1905-04-01,England,Scotland,1,0,1
145,British Championship,1905-04-08,Northern Ireland,Wales,2,2,1
146,Friendly,1905-04-30,Belgium,Netherlands,1,4,1
147,Friendly,1905-05-07,Belgium,France,7,0,1
148,Friendly,1905-05-14,Netherlands,Belgium,4,0,1
149,Copa Lipton,1905-08-15,Argentina,Uruguay,0,0,1
150,British Championship,1906-02-17,Northern Ireland,England,0,5,1
151,British Championship,1906-03-03,Scotland,Wales,0,2,1
152,British Championship,1906-03-19,Wales,England,0,1,1
153,British Championship,1906-04-02,Wales,Northern Ireland,4,4,1
154,British Championship,1906-04-07,Scotland,England,2,1,1
155,Friendly,1906-04-22,France,Belgium,0,5,1
156,Friendly,1906-04-29,Belgium,Netherlands,5,0,1
157,Friendly,1906-05-13,Netherlands,Belgium,2,3,1
158,Copa Lipton,1906-08-15,Uruguay,Argentina,0,2,1
159,Copa Newton,1906-10-21,Argentina,Uruguay,2,1,1
160,British Championship,1907-02-16,England,Northern Ireland,1,0,1
161,British Championship,1907-02-23,Northern Ireland,Wales,2,3,1
162,British Championship,1907-03-04,Wales,Scotland,1,0,1
163,British Championship,1907-03-18,England,Wales,1,1,1
164,British Championship,1907-04-06,England,Scotland,1,1,1
165,Friendly,1907-04-14,Belgium,Netherlands,1,3,1
166,Friendly,1907-04-21,Belgium,France,1,2,1
167,Friendly,1907-05-09,Netherlands,Belgium,1,2,1
168,British Championship,1908-02-15,Northern Ireland,England,1,3,1
169,British Championship,1908-03-07,Scotland,Wales,2,1,1
170,Friendly,1908-03-08,Switzerland,France,1,2,1
171,British Championship,1908-03-16,Wales,England,1,7,1
172,Friendly,1908-03-29,Belgium,Netherlands,1,4,1
173,British Championship,1908-04-04,Scotland,England,1,1,1
174,Friendly,1908-04-05,Switzerland,Germany,5,3,1
175,British Championship,1908-04-11,Wales,Northern Ireland,0,1,1
176,Friendly,1908-04-12,France,Belgium,1,2,1
177,Friendly,1908-04-26,Netherlands,Belgium,3,1,1
178,Friendly,1908-05-10,Netherlands,France,4,1,1
179,Friendly,1908-06-06,Austria,England,1,6,1
180,Friendly,1908-06-07,Austria,Germany,3,2,1
181,Friendly,1908-06-08,Austria,England,1,11,1
182,Friendly,1908-06-10,Hungary,England,0,7,1
183,Friendly,1908-06-13,Czechoslovakia,England,0,4,1
184,Copa Lipton,1908-08-15,Uruguay,Argentina,2,2,1
185,Copa Newton,1908-09-13,Argentina,Uruguay,2,1,1
186,Copa Premio Honor Argentino,1908-10-04,Argentina,Uruguay,0,1,1
187,Friendly,1908-10-25,Netherlands,Sweden,5,3,1
188,Friendly,1908-10-26,Belgium,Sweden,2,1,1
189,British Championship,1909-02-13,England,Northern Ireland,4,0,1
190,British Championship,1909-03-01,Wales,Scotland,3,2,1
191,British Championship,1909-03-15,England,Wales,2,0,1
